lat,lon,FD,ID,RR1,TN,TX
-52.75,-70.75,1.0,0.0,2.0,281.45752,292.84027
-52.75,-70.25,1.0,0.0,3.0,281.68158,293.1951
-52.75,-69.75,1.0,0.0,2.0,281.64124,293.3164
-52.75,-69.25,1.0,0.0,2.0,281.39117,292.7062
-52.75,-68.75,0.0,0.0,2.0,281.1574,291.77423
-52.75,-68.25,0.0,0.0,2.0,280.98895,292.7211
-52.75,169.25,0.0,0.0,6.0,278.36523,284.97617
-52.25,-75.25,0.0,0.0,10.0,280.72333,287.12946
-52.25,-74.75,0.0,0.0,10.0,279.2103,286.22873
-52.25,-74.25,0.0,0.0,10.0,279.7579,287.58182
-52.25,-73.75,1.0,0.0,10.0,279.78433,288.3543
-52.25,-73.25,1.0,0.0,10.0,279.715,288.9914
-52.25,-72.75,1.0,0.0,10.0,280.4235,290.29312
-52.25,-72.25,1.0,0.0,8.0,280.29697,290.87598
-52.25,-71.75,1.0,0.0,7.0,280.7719,291.9511
-52.25,-71.25,1.0,0.0,3.0,280.81458,292.5617
-52.25,-70.75,1.0,0.0,3.0,280.85342,293.14413
-52.25,-70.25,1.0,0.0,3.0,281.13132,293.73843
-52.25,-69.75,1.0,0.0,3.0,281.3744,294.09647
-52.25,-69.25,1.0,0.0,2.0,281.59076,293.83218
-52.25,-68.75,1.0,0.0,2.0,281.5544,292.65726
-52.25,-60.75,2.0,0.0,4.0,276.14734,289.5359
-52.25,-60.25,2.0,0.0,4.0,275.87805,289.41022
-52.25,-59.75,1.0,0.0,4.0,276.26733,289.5072
-52.25,-59.25,0.0,0.0,4.0,276.06693,288.84036
-52.25,-58.75,0.0,0.0,4.0,276.03085,288.3424
-51.75,-74.75,0.0,0.0,10.0,279.96664,287.62604
-51.75,-74.25,0.0,0.0,10.0,280.5,288.75638
-51.75,-73.75,1.0,0.0,10.0,280.0682,289.10132
-51.75,-73.25,1.0,0.0,10.0,278.8454,288.9085
-51.75,-72.75,1.0,0.0,9.0,280.48767,291.03735
-51.75,-72.25,1.0,0.0,6.0,280.76932,292.02466
-51.75,-71.75,1.0,0.0,3.0,280.52182,292.57828
-51.75,-71.25,1.0,0.0,3.0,280.79355,293.41974
-51.75,-70.75,1.0,0.0,3.0,281.20355,294.2572
-51.75,-70.25,1.0,0.0,3.0,281.2342,294.86548
-51.75,-69.75,1.0,0.0,3.0,281.33163,295.238
-51.75,-69.25,1.0,0.0,3.0,281.53864,295.23575
-51.75,-68.75,1.0,0.0,2.0,281.92706,294.64972
-51.75,-60.75,1.0,0.0,4.0,276.53793,289.66565
-51.75,-60.25,2.0,0.0,4.0,276.2023,289.38434
-51.75,-59.75,1.0,0.0,4.0,275.9752,289.07855
-51.75,-59.25,0.0,0.0,4.0,276.18695,288.872
-51.75,-58.75,0.0,0.0,3.0,275.7514,288.10675
-51.75,-58.25,0.0,0.0,3.0,275.80444,287.75687
-51.75,-57.75,0.0,0.0,4.0,275.73077,287.2203
-51.25,-75.25,0.0,0.0,10.0,280.17987,287.58435
-51.25,-74.75,0.0,0.0,10.0,279.90906,287.78436
-51.25,-74.25,1.0,0.0,10.0,280.46576,289.15558
-51.25,-73.75,1.0,0.0,10.0,279.13623,288.87784
-51.25,-73.25,1.0,0.0,7.0,279.03262,289.72247
-51.25,-72.75,1.0,0.0,5.0,280.6774,292.09967
-51.25,-72.25,1.0,0.0,2.0,280.4501,292.7011
-51.25,-71.75,1.0,0.0,2.0,280.117,293.06354
-51.25,-71.25,1.0,0.0,2.0,280.85724,294.316
-51.25,-70.75,1.0,0.0,3.0,281.65936,295.53375
-51.25,-70.25,1.0,0.0,3.0,281.73206,296.12
-51.25,-69.75,1.0,0.0,3.0,281.82697,296.5201
-51.25,-69.25,1.0,0.0,3.0,282.03152,296.5091
-51.25,-60.75,2.0,0.0,4.0,276.16995,289.0862
-51.25,-60.25,1.0,0.0,4.0,276.8975,289.64948
-51.25,-59.75,1.0,0.0,4.0,276.68808,289.15656
-51.25,-59.25,0.0,0.0,4.0,276.5647,288.96582
-51.25,-58.75,0.0,0.0,3.0,276.51605,288.65918
-51.25,-58.25,0.0,0.0,3.0,276.35077,288.1961
-50.75,-75.25,0.0,0.0,8.0,280.37628,287.9733
-50.75,-74.75,0.0,0.0,10.0,280.34647,288.56366
-50.75,-74.25,1.0,0.0,7.0,280.27505,289.46088
-50.75,-73.75,1.0,0.0,6.0,278.8197,289.14444
-50.75,-73.25,1.0,0.0,3.0,276.54816,288.0076
-50.75,-72.75,1.0,0.0,2.0,279.78802,292.00385
-50.75,-72.25,1.0,0.0,2.0,279.11502,292.23648
-50.75,-71.75,1.0,0.0,2.0,279.57916,293.28958
-50.75,-71.25,1.0,0.0,2.0,281.05606,295.0979
-50.75,-70.75,1.0,0.0,3.0,281.7557,296.2973
-50.75,-70.25,1.0,0.0,3.0,281.8822,296.79068
-50.75,-69.75,1.0,0.0,4.0,281.98413,297.0595
-50.75,-69.25,1.0,0.0,3.0,282.58514,297.46204
-50.75,165.75,0.0,0.0,7.0,279.3671,286.57278
-50.75,166.25,0.0,0.0,7.0,279.26123,286.69867
-50.25,-75.25,0.0,0.0,6.0,280.32654,287.97006
-50.25,-74.75,0.0,0.0,5.0,280.77838,289.30728
-50.25,-74.25,1.0,0.0,5.0,280.3109,289.7923
-50.25,-73.75,1.0,0.0,3.0,277.5477,288.4158
-50.25,-73.25,1.0,0.0,2.0,278.54773,290.38263
-50.25,-72.75,1.0,0.0,2.0,279.9187,292.72104
-50.25,-72.25,1.0,0.0,2.0,280.5787,294.3091
-50.25,-71.75,1.0,0.0,2.0,280.6934,294.88547
-50.25,-71.25,1.0,0.0,2.0,280.8365,295.43683
-50.25,-70.75,1.0,0.0,3.0,281.92133,296.80276
-50.25,-70.25,1.0,0.0,3.0,282.38223,297.6652
-50.25,-69.75,1.0,0.0,4.0,282.50684,297.88837
